t_index term df
784 bai 1
785 baijubahi 2
786 bail 4
787 bailey 6
788 baird 1
789 bairnt 1
790 bait 1
791 bakarec 3
792 bake 2
793 baken 1
794 baker 5
795 bakhshish 1
796 bakri 5
797 balanc 21
798 balawat 1
799 balcacer 2
800 balconi 11
801 bald 1
802 balint 1
803 balk 4
804 balkan 25
805 ball 30
806 ballard 1
807 ballast 2
808 ballena 1
809 ballist 2
810 ballo 1
811 balloon 3
812 ballot 72
813 ballroom 2
814 balonia 1
815 balsamo 1
816 baltimor 3
817 baltin 1
818 bamba 3
819 bambi 1
820 bamboo 4
821 bament 1
822 ban 24
823 banco 1
824 band 11
825 bandag 8
826 bandanna 3
827 bandit 1
828 bang 7
829 bangalor 1
830 bangaru 3
831 bangladesh 5
832 bank 69
833 banker 10
834 bankrupt 5
835 bankruptci 4
836 banner 9
837 bannon 1
838 banquet 1
839 baptist 6
840 bar 54
841 barak 9
842 barb 4
843 barbar 2
844 barbara 24
845 barber 1
846 barbershop 1
847 barcelona 1
848 bare 46
849 barefacedli 1
850 barent 36
851 barg 3
852 bargain 9
853 bari 1
854 bark 1
855 barkina 2
856 barkolla 1
857 barkova 3
858 barna 4
859 barney 1
860 barnstorm 1
861 barot 1
862 barov 1
863 barr 2
864 barrack 35
865 barrag 2
866 barrel 2
867 barrera 2
868 barri 1
869 barricad 18
870 barrier 12
871 bartlett 1
872 barua 5
873 base 188
874 basebal 5
875 baselin 16
876 basement 1
877 basher 1
878 bashraheel 1
879 bashrahel 1
880 basi 15
881 basic 43
882 basilica 1
883 bask 2
884 basket 3
885 basketbal 1
886 basset 1
887 bassiouni 1
888 bastion 6
889 batch 1
890 bath 4
891 bathroom 3
892 bathtub 1
893 batic 2
894 baton 4
895 battalion 3
896 batten 1
897 batter 8
898 batteri 2
899 battl 78
900 battlefield 4
901 battleground 8
902 bauman 6
903 bautista 1
904 bavaria 1
905 bay 7
906 bazaar 1
907 bbc 29
908 beach 17
909 beachfront 1
910 bead 1
911 beal 1
912 beam 14
913 bean 3
914 bear 23
915 beard 20
916 bearer 2
917 beat 79
918 beaten 31
919 beater 3
920 beaumont 1
921 beauti 6
922 beaver 1
923 becam 104
924 becaus 354
925 becausec 1
926 beci 2
927 becker 1
928 becom 115
929 bed 35
930 bedanova 2
931 bedi 12
932 bedouin 1
933 bedroom 6
934 bedsheet 1
935 beef 6
936 beer 2
937 befit 1
938 befor 391
939 befriend 1
940 befuddl 1
941 beg 4
942 began 156
943 beggar 1
944 begin 151
945 begun 31
946 behalf 8
947 behan 1
948 behari 3
949 behav 9
950 behavior 11
951 beholden 3
952 beij 3
953 beirut 9
954 bekki 3
955 belaru 1
956 belch 1
957 beleagu 3
958 belgian 5
959 belgium 6
960 belgrad 100
961 beli 1
962 belida 3
963 belief 17
964 believ 292
965 belittl 1
966 bell 4
967 belliger 1
968 belong 31
969 belov 5
970 belt 8
971 bema 2
972 bemoan 1
973 ben 5
974 bench 4
975 benchmark 1
976 bend 2
977 beneath 31
978 benefactor 2
979 benefici 1
980 beneficiari 1
981 benefit 17
982 benevol 7
983 benign 1
984 benin 8
985 benito 1
986 benjamin 2
987 bennett 1
988 benni 1
989 bent 13
990 benton 1
991 bequeath 1
992 berat 1
993 bere 1
994 beresich 1
995 beretta 1
996 bergen 1
997 berger 25
998 berlin 8
999 bernstein 2
